id,semantic,tags,category,description
KensIcons-applications-utilities,kensicons-applications-utilities,"utilities,kensicons,applications",ui,Kensicons Applications Utilities icon
KensIcons-application-vnd.openofficeorg.extension,kensicons-application-vnd.openofficeorg.extension,"vnd.openofficeorg.extension,kensicons,application",ui,Kensicons Application Vnd.Openofficeorg.Extension icon
KensIcons-application-x-blender,kensicons-application-x-blender,"x,kensicons,application,blender",ui,Kensicons Application X Blender icon
KensIcons-application-x-cd-image,kensicons-application-x-cd-image,"x,image,cd,application,kensicons",ui,Kensicons Application X Cd Image icon
KensIcons-application-x-executable,kensicons-application-x-executable,"x,kensicons,application,executable",ui,Kensicons Application X Executable icon
KensIcons-application-x-mono-develop-xib,kensicons-application-x-mono-develop-xib,"x,mono,develop,xib,application",ui,Kensicons Application X Mono Develop Xib icon
KensIcons-appointment-missed,kensicons-appointment-missed,"kensicons,missed,appointment",ui,Kensicons Appointment Missed icon
KensIcons-appointment-soon,kensicons-appointment-soon,"soon,kensicons,appointment",ui,Kensicons Appointment Soon icon
KensIcons-audio-card,kensicons-audio-card,"audio,kensicons,card",ui,Kensicons Audio Card icon
KensIcons-audio-volume-high,kensicons-audio-volume-high,"audio,kensicons,volume,high",ui,Kensicons Audio Volume High icon
KensIcons-audio-volume-low,kensicons-audio-volume-low,"audio,kensicons,volume,low",ui,Kensicons Audio Volume Low icon
KensIcons-audio-volume-medium,kensicons-audio-volume-medium,"audio,kensicons,volume,medium",ui,Kensicons Audio Volume Medium icon
KensIcons-audio-volume-muted,kensicons-audio-volume-muted,"audio,kensicons,volume,muted",ui,Kensicons Audio Volume Muted icon
KensIcons-audio-x-generic,kensicons-audio-x-generic,"audio,kensicons,x,generic",ui,Kensicons Audio X Generic icon
KensIcons-camera-video,kensicons-camera-video,"kensicons,camera,video",ui,Kensicons Camera Video icon
KensIcons-computer,kensicons-computer,"kensicons,computer",ui,Kensicons Computer icon
KensIcons-dialog-error,kensicons-dialog-error,"kensicons,error,dialog",ui,Kensicons Dialog Error icon
KensIcons-dialog-information,kensicons-dialog-information,"kensicons,information,dialog",ui,Kensicons Dialog Information icon
KensIcons-dialog-question,kensicons-dialog-question,"kensicons,question,dialog",ui,Kensicons Dialog Question icon
KensIcons-dialog-warning,kensicons-dialog-warning,"kensicons,dialog,warning",ui,Kensicons Dialog Warning icon
KensIcons-document-new,kensicons-document-new,"new,kensicons,document",files,Kensicons Document New icon
KensIcons-document-open,kensicons-document-open,"kensicons,open,document",ui,Kensicons Document Open icon
KensIcons-document-print,kensicons-document-print,"kensicons,document,print",files,Kensicons Document Print icon
KensIcons-document-print-preview,kensicons-document-print-preview,"kensicons,document,print,preview",files,Kensicons Document Print Preview icon
