id,semantic,tags,category,description
Coffee I(L)NY ,coffee-i(l)ny,"i(l)ny,coffee",ui,Coffee I(L)Ny icon
Writing pencil,writing-pencil,"pencil,writing",ui,Writing Pencil icon
Wrong,wrong,wrong,ui,Wrong icon
xls,xls,xls,ui,Xls icon
Yellow bookmark,yellow-bookmark,"bookmark,yellow",files,Yellow Bookmark icon
Yellow pin,yellow-pin,"pin,yellow",ui,Yellow Pin icon
Yellow tag,yellow-tag,"yellow,tag",ui,Yellow Tag icon
Yen,yen,yen,ui,Yen icon
Yes,yes,yes,ui,Yes icon
